K. M. McPeak, S. V. Jayanti, S. J. P. Kress, S. Meyer, S. Iotti, A. Rossinelli, and D. J. Norris. Plasmonic films can easily be better: Rules and recipes, ACS Photonics 2, 326-333 (2015)
wl,n,k,eps_re,eps_im
1.26,0.165494236,8.987624177,-80.75,2.974799993
1.27,0.159382324,9.068759713,-82.21700001,2.890799998
1.28,0.163849184,9.146521008,-83.63199999,2.997300007
1.29,0.166211578,9.226192405,-85.09500001,3.066999997
1.3,0.166156462,9.303580384,-86.52899999,3.091700001
1.31,0.170115488,9.372456417,-87.81400001,3.188799994
1.32,0.169795214,9.445201449,-89.183,3.207500003
1.33,0.174809869,9.530926424,-90.80800001,3.332199999
1.34,0.176209118,9.61244244,-92.36800001,3.387600008
1.35,0.179585571,9.687582308,-93.817,3.479500001
1.36,0.177483381,9.769365402,-95.40900001,3.467800004
1.37,0.184295562,9.839357949,-96.77899999,3.626700006
1.38,0.186297714,9.916385775,-98.3,3.694800002
1.39,0.190837556,9.992267959,-99.80899999,3.813799992
1.4,0.191102283,10.07156989,-101.4,3.849399999
1.41,0.194361931,10.14138928,-102.81,3.942200007
1.42,0.205426553,10.22263176,-104.46,4.20000001
1.43,0.208361137,10.32150252,-106.4899999,4.301200001
1.44,0.206557078,10.37509835,-107.5999999,4.286099998
1.45,0.208044,10.46581494,-109.4900001,4.354700007
1.46,0.205758558,10.54050931,-111.0599999,4.337599992
1.47,0.212405614,10.6421387,-113.21,4.52090001
1.48,0.216697642,10.70593097,-114.5700001,4.639899993
1.49,0.219902453,10.78046182,-116.17,4.741299997
1.5,0.215398722,10.85893165,-117.87,4.677999999
1.51,0.21956893,10.91137986,-119.0099999,4.791600001
1.52,0.222004156,11.00587506,-121.08,4.886700007
1.53,0.230589098,11.08617027,-122.8499999,5.112700006
1.54,0.235210701,11.16849695,-124.68,5.253899993
1.55,0.238229889,11.26307034,-126.8,5.366399994
1.56,0.236761828,11.31706924,-128.02,5.358900002
1.57,0.235275342,11.38092063,-129.4699999,5.355299987
1.58,0.240819258,11.44281407,-130.8799999,5.511299988
1.59,0.246290147,11.53172402,-132.92,5.680300008
1.6,0.243652913,11.64299647,-135.5000001,5.673700012
1.61,0.25211538,11.70912303,-137.04,5.904100004
1.62,0.248830057,11.78354431,-138.7900001,5.864200005
1.63,0.264448459,11.86507198,-140.7100001,6.275400002
1.64,0.258451056,11.92798378,-142.2100001,6.165600008
1.65,0.265882655,12.01168987,-144.2099999,6.387399987
1.66,0.278561249,12.06969744,-145.5999999,6.724299988
1.67,0.278188678,12.1875916,-148.4600001,6.78089999
1.68,0.28090035,12.2404618,-149.7500001,6.876700008
1.69,0.290244511,12.34683125,-152.36,7.167199997
1.7,0.316481841,12.37053599,-152.9299999,7.830100009
