wl,n,k,eps_re,eps_im
0.43173,1.538548,1.895259,-1.224876729,5.831893888
0.43333,1.534472,1.893501,-1.230741718,5.811048533
0.43493,1.530306,1.891638,-1.236457869,5.789569962
0.43652,1.525975,1.889606,-1.242011135,5.766983032
0.43812,1.521506,1.887384,-1.247237855,5.743332161
0.43971,1.516806,1.884899,-1.252143799,5.718052225
0.44131,1.511861,1.882115,-1.25663319,5.690992532
0.44291,1.506655,1.879007,-1.260658017,5.662030583
0.4445,1.501068,1.875493,-1.264268852,5.630485053
0.4461,1.495114,1.87158,-1.267445823,5.59645092
0.44769,1.488656,1.867194,-1.270316747,5.559219103
0.44929,1.48167,1.862341,-1.272968011,5.518749579
0.45089,1.474144,1.857056,-1.275556454,5.47513592
0.45248,1.465929,1.851288,-1.278319426,5.427713533
0.45408,1.457079,1.845146,-1.281484549,5.377046977
0.45567,1.447442,1.838608,-1.285391034,5.322556881
0.45727,1.437043,1.831791,-1.290365684,5.264724868
0.45887,1.425938,1.824839,-1.296738196,5.204214548
0.46046,1.41399,1.817785,-1.304974586,5.140659624
0.46206,1.401282,1.810807,-1.315430748,5.074902509
0.46366,1.387933,1.80409,-1.328382716,5.007912092
0.46525,1.373823,1.797692,-1.344306892,4.939421233
0.46685,1.359181,1.791817,-1.363235171,4.870807244
0.46844,1.34388,1.786482,-1.385504482,4.80163486
0.47004,1.32805,1.781752,-1.410923387,4.732511487
0.47164,1.311804,1.777588,-1.438989363,4.663694098
0.47323,1.294884,1.773738,-1.469421919,4.593569913
0.47483,1.27735,1.769875,-1.500834493,4.521499663
0.47642,1.258683,1.765327,-1.532096522,4.443974169
0.47802,1.238471,1.759179,-1.560900336,4.357384351
0.47962,1.216047,1.750152,-1.584261717,4.256534178
0.48121,1.18989,1.736265,-1.598777938,4.131928722
0.48281,1.170568,1.738108,-1.650789977,4.069147211
0.4844,1.144302,1.736009,-1.704300181,3.973037141
0.486,1.11348,1.735837,-1.77329238,3.865639566
0.4876,1.079774,1.738931,-1.857969132,3.755304963
0.48919,1.044738,1.741505,-1.941362176,3.638832901
0.49079,1.011442,1.74498,-2.021940281,3.529892122
0.49238,0.981897,1.750029,-2.098479782,3.43669645
0.49398,0.955612,1.755039,-2.166967597,3.354272658
0.49558,0.928726,1.762202,-2.242823906,3.273205629
0.49717,0.900388,1.770504,-2.323985863,3.188281111
0.49877,0.868936,1.783858,-2.427099592,3.10011687
0.50036,0.835603,1.798934,-2.537931163,3.006389294
0.50196,0.802266,1.816142,-2.654741029,2.914057956
0.50356,0.76713,1.834243,-2.775958946,2.814205665
0.50515,0.73773,1.856105,-2.900880218,2.738608683
0.50675,0.70764,1.877222,-3.023208068,2.656794752
0.50834,0.68224,1.896995,-3.133138612,2.588411738
0.50994,0.659045,1.920112,-3.252489781,2.530880426
0.51154,0.63813,1.942824,-3.367355198,2.479548558
0.51313,0.619764,1.965665,-3.479731477,2.436496806
0.51473,0.601884,1.989298,-3.595042183,2.394653275
0.51632,0.583199,2.01268,-3.710759709,2.347585927
0.51792,0.564885,2.038451,-3.836187416,2.302980786
0.51951,0.544985,2.063012,-3.959009862,2.24862119
0.52111,0.525386,2.088623,-4.086315587,2.194666567
0.52271,0.506651,2.113171,-4.208796439,2.141280401
0.5243,0.490986,2.136495,-4.323543633,2.097978268
0.5259,0.476172,2.160979,-4.443090465,2.057995385
0.52749,0.46404,2.185475,-4.560967854,2.028295638
