G. Rosenblatt, B. Simkhovich, G. Bartal, M. Orenstein. Nonmodal plasmonics: Controlling the forced optical response of nanostructures, Phys. Rev. X 10, 011071 (2020)
wl,n,k,eps_re,eps_im
1.36,0.27431134,9.25236445,-85.5310012,5.076056981
1.37,0.278295182,9.32706309,-86.91665768,5.19135344
1.38,0.282322268,9.40174027,-88.31301424,5.308641272
1.39,0.28639273,9.47639747,-89.72008821,5.427942684
1.4,0.290506702,9.55103612,-91.13789682,5.549280008
1.41,0.29466433,9.62565762,-92.56645755,5.672675907
1.42,0.298865764,9.70026329,-94.00578715,5.798153198
1.43,0.30311116,9.77485445,-95.45590314,5.925734942
1.44,0.307400684,9.84943237,-96.91682283,6.055444495
1.45,0.311734504,9.92399828,-98.38856346,6.187305363
1.46,0.316112796,9.99855337,-99.87114219,6.321341323
1.47,0.320535744,10.0730988,-101.3645763,6.457576436
1.48,0.325003534,10.1476357,-102.868883,6.596034928
1.49,0.32951636,10.2221652,-104.3840803,6.736741336
1.5,0.334074422,10.2966884,-105.9101863,6.879720451
1.51,0.338677924,10.3712062,-107.4472153,7.02499717
1.52,0.343327077,10.4457198,-108.9951887,7.172596892
1.53,0.348022097,10.5202301,-110.554122,7.322545081
1.54,0.352763204,10.5947381,-112.1240335,7.474867515
1.55,0.357550625,10.6692446,-113.7049379,7.62959015
1.56,0.36238459,10.7437508,-115.2968587,7.786739457
1.57,0.367265336,10.8182573,-116.8998072,7.946341804
1.58,0.372193105,10.8927652,-118.513806,8.108424204
1.59,0.377168143,10.9672753,-120.1388717,8.273013717
1.6,0.3821907,11.0417883,-121.7750191,8.440137599
1.61,0.387261034,11.1163052,-123.4222702,8.609823692
1.62,0.392379404,11.1908268,-125.0806429,8.7820999
1.63,0.397546077,11.2653538,-126.7501534,8.956994418
1.64,0.402761323,11.3398869,-128.4308182,9.134535701
1.65,0.408025418,11.4144271,-130.1226613,9.314752777
1.66,0.41333864,11.4889749,-131.8256954,9.49767452
1.67,0.418701274,11.5635311,-133.5399407,9.683330407
1.68,0.42411361,11.6380964,-135.2654155,9.871750155
1.69,0.429575942,11.7126715,-137.0021382,10.06296379
1.7,0.435088567,11.7872571,-138.7501279,10.2570016
1.71,0.440651788,11.8618538,-140.5094016,10.45389417
1.72,0.446265913,11.9364624,-142.2799814,10.65367258
1.73,0.451931255,12.0110834,-144.0618826,10.85636799
1.74,0.457648129,12.0857175,-145.8551257,11.062012
1.75,0.463416857,12.1603653,-147.659729,11.27063653
1.76,0.469237765,12.2350273,-149.475709,11.48227373
1.77,0.475111183,12.3097043,-151.3030893,11.69695634
1.78,0.481037446,12.3843968,-153.1418871,11.91471721
